対象年月,総売上,保険診療収入,自由診療収入,人件費,材料費,固定費,その他費用,初診患者数,再初診患者数,再診患者数,その他患者数,総患者数
2026-02,5630320,2658030,2972290,900000,0,5647000,0,53,16,388,76,533
2026-01,4593800,2792810,1800990,700000,0,4250000,0,0,0,472,0,532
